rank,teamId,teamName,submissionDate,score
1,16081764,YUTO KOJIMA,2026-08-07 00:30:41.416000,1.86
2,16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
3,16371045,Lord Han Solo,2026-08-06 19:41:37.533000,1.65
4,15735428,GeniusYY,2026-08-06 00:13:44.720000,1.64
5,16406081,Tecnod8.AI,2026-08-06 08:23:46.870000,1.61
6,15504856,FOYSAL,2026-08-07 00:10:30.360000,1.61
7,15632507,DhanaLakshmiMalla,2026-08-06 17:32:02.346000,1.60
8,16364346,cstl,2026-08-06 20:55:01,1.59
9,15814821,Biubiu,2026-08-05 15:33:48.756000,1.58
10,15622956,ippeiogawa,2026-08-06 22:56:23.760000,1.58
11,16609469,Nkosi Ndwandwe,2026-08-07 00:05:09.380000,1.58
12,16475496,Yuchen20,2026-08-06 19:51:23.050000,1.58
13,15488219,Mathurin Ache,2026-08-06 08:07:29.856000,1.56
14,16032510,anngle,2026-07-25 04:14:21.790000,1.56
15,15609417,NoOneAhead,2026-08-06 02:10:14.073000,1.56
16,15525358,paul,2026-08-07 00:44:42.616000,1.54
17,15590762,"Seok, Jeongeum",2026-08-04 12:31:33.736000,1.54
18,15520570,Dinesh kumar Thiyagarajan,2026-08-06 10:47:22.093000,1.50
19,15491313,Mohammad Saadati,2026-08-07 00:29:39.663000,1.50
20,16508241,Yan Zhang,2026-08-06 00:10:11.410000,1.49
