rank,teamName,score,submissionCount,lastSubmissionDate
1,cstl,3.57,32,2026-08-21 21:08:49
2,Tufa Labs,3.04,114,2026-08-21 15:10:26
3,Lord Han Solo,2.76,39,2026-08-21 21:46:38
4,Akhil Tolani,2.73,74,2026-08-21 00:04:56
5,AbeLincoln1865,2.72,13,2026-08-21 04:33:49
6,The AGI Boys,2.66,42,2026-08-21 05:56:20
7,Jonathan Wang2022,2.59,10,2026-08-20 01:07:44
8,Daniel Franzen,2.58,48,2026-08-21 14:54:52
9,Junhua Yang,2.57,142,2026-08-21 21:01:46
10,cocoaAI,2.56,32,2026-08-22 00:59:09
11,rellik13,2.53,9,2026-08-21 18:55:10
12,Pathik Patel,2.50,71,2026-08-21 13:34:36
13,DataRegressor,2.47,14,2026-08-21 20:43:24
14,Pathetic384,2.47,5,2026-08-21 00:00:31
15,vbnnn,2.45,23,2026-08-22 00:00:12
