  teamId  teamName                   submissionDate              score  
--------  -------------------------  --------------------------  -----  
16364346  cstl                       2026-08-29 19:25:36.393000  5.99   
16371045  Lord Han Solo              2026-08-29 22:18:06.010000  4.99   
15486995  Tufa Labs                  2026-08-29 17:42:40.113000  4.67   
15823039  Tong Hui Kang              2026-08-29 23:54:16.610000  4.27   
16609552  rfbr                       2026-08-29 14:52:26.573000  3.37   
15767021  Youssef Nader @ Aurelic    2026-08-29 20:03:18.510000  3.19   
16665305  Tony G                     2026-08-27 06:36:21.056000  3.17   
16384837  Daniel Franzen             2026-08-29 21:20:45.056000  3.15   
16534447  Liao Zixu                  2026-08-29 13:07:35.960000  3.13   
15615054  OzanM.                     2026-08-29 07:02:05.110000  2.98   
15490570  Abstraction Lab & MindsAI  2026-08-29 19:56:56.300000  2.94   
15497833  Tony Li                    2026-08-29 03:44:50.820000  2.80   
16296124  Tatu Helander              2026-08-29 07:53:32.696000  2.78   
15906822  Akhil Tolani               2026-08-28 18:14:47.400000  2.73   
