Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16364346,cstl,2026-08-30 19:46:19,7.51,41,"gatamaz,tehnar"
2,16371045,Lord Han Solo,2026-08-30 22:22:54,4.99,48,lordhansolo
3,15486995,Tufa Labs,2026-08-30 04:50:22,4.71,123,"dlorah,driessmit1,infinitecreativity,jeroencottaar,pressman1,stefano1283"
4,15823039,Tong Hui Kang,2026-08-30 22:05:58,4.27,58,huikang
5,16384837,Daniel Franzen,2026-08-30 20:04:36,4.05,57,dfranzen
6,15605182,Son Pham & Mark Barney,2026-08-30 17:33:24,3.58,33,"markbarney,sonphamorg"
7,16609552,Kyutai,2026-08-30 14:54:25,3.37,34,"hippolytepilchen,romainfabre"
8,16439788,Dawid Kopiczko,2026-08-30 23:28:10,3.31,42,dawkopi
9,15767021,Youssef Nader @ Aurelic,2026-08-30 05:53:08,3.19,13,gamingconceited
10,16665305,Tony G,2026-08-27 06:36:21,3.17,14,junvalue
11,16534447,Liao Zixu,2026-08-29 13:07:35,3.13,15,liaozixu
12,16623996,sawada,2026-08-31 00:05:19,3.10,32,sawada
13,15615054,OzanM.,2026-08-30 07:53:03,2.98,101,analyticaobscura
14,15490570,Abstraction Lab & MindsAI,2026-08-30 17:44:51,2.94,133,"alisalmanrana,jcole75,kimura0415,sumirinn,ultsaza"
15,15497833,Tony Li,2026-08-31 00:54:17,2.80,17,tonylica
173,15503635,Canivel,2026-08-31 00:07:09,2.05,127,canivel
