benchmark: duck-phase1-seed1
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-10 13:53:29
ended:     2026-07-10 16:06:30
duration:  2h 13m 1s
mean score:    0.00
median score:  0.00
total actions: 4553
total tokens:  2702624
generated tokens/sec: 338.63 (job wallclock)
total wallclock: 198674.7s

per-game (mean across passes):
  ar25-e3c63847: score=0.00, levels=1.0/8, actions=273, tokens=84245
  bp35-0a0ad940: score=0.00, levels=1.0/9, actions=221, tokens=55867
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=146, tokens=95330
  cn04-65d47d14: score=0.00, levels=0.0/5, actions=381, tokens=66292
  dc22-4c9bff3e: score=0.00, levels=0.0/6, actions=142, tokens=112848
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=169, tokens=122374
  g50t-5849a774: score=0.00, levels=0.0/7, actions=159, tokens=78509
  ka59-9f096b4a: score=0.00, levels=0.0/7, actions=212, tokens=97454
  lf52-271a04aa: score=0.00, levels=1.0/10, actions=122, tokens=109473
  lp85-305b61c3: score=0.00, levels=1.0/8, actions=40, tokens=166944
  ls20-9607627b: score=0.00, levels=1.0/7, actions=150, tokens=96488
  m0r0-dadda488: score=0.00, levels=1.0/6, actions=198, tokens=89082
  r11l-aa269680: score=0.00, levels=1.0/6, actions=61, tokens=155606
  re86-4e57566e: score=0.00, levels=2.0/8, actions=147, tokens=110874
  s5i5-a48e4b1d: score=0.00, levels=0.0/8, actions=142, tokens=135266
  sb26-7fbdac44: score=0.00, levels=1.0/8, actions=173, tokens=95783
  sc25-f9b21a2f: score=0.00, levels=2.0/6, actions=217, tokens=80754
  sk48-41055498: score=0.00, levels=0.0/8, actions=114, tokens=125633
  sp80-0ee2d095: score=0.00, levels=0.0/6, actions=323, tokens=78218
  su15-4c352900: score=0.00, levels=1.0/9, actions=146, tokens=135751
  tn36-ab4f63cc: score=0.00, levels=2.0/7, actions=77, tokens=122305
  tr87-cd924810: score=0.00, levels=0.0/6, actions=261, tokens=124079
  tu93-2b534c15: score=0.00, levels=2.0/9, actions=149, tokens=144082
  vc33-9851e02b: score=0.00, levels=2.0/7, actions=139, tokens=152336
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=391, tokens=67031
