iter	Passed	Remaining
0	84	253786
1	165	248208
2	248	248084
3	323	242561
4	390	233690
5	469	234037
6	539	230603
7	634	237172
8	715	237633
9	799	238975
10	872	237139
11	949	236337
12	1017	233850
13	1087	232048
14	1153	229512
15	1223	228274
16	1291	226699
17	1358	225040
18	1432	224714
19	1512	225423
20	1582	224530
21	1659	224617
22	1738	225028
23	1840	228196
24	1913	227723
25	1987	227322
26	2063	227171
27	2134	226589
28	2216	227114
29	2296	227330
30	2372	227177
31	2448	227080
32	2529	227388
33	2594	226343
34	2668	226022
35	2755	226833
36	2828	226494
37	2907	226632
38	2999	227714
39	3106	229893
40	3189	230164
41	3262	229764
42	3335	229345
43	3412	229261
44	3488	229093
45	3559	228552
46	3627	227918
47	3701	227617
48	3769	226989
49	3846	226914
50	3917	226509
51	3986	225992
52	4051	225279
53	4115	224507
54	4185	224132
55	4271	224537
56	4341	224144
57	4413	223888
58	4486	223660
59	4560	223479
60	4631	223142
61	4705	222985
62	4771	222450
63	4852	222612
64	4916	221991
65	4989	221790
66	5056	221340
67	5130	221218
68	5208	221267
69	5278	220938
70	5353	220859
71	5428	220752
72	5493	220269
73	5557	219742
74	5624	219348
75	5678	218472
76	5743	218044
77	5800	217288
78	5866	216902
79	5935	216655
80	6001	216293
81	6065	215846
82	6131	215471
83	6196	215106
84	6259	214663
85	6318	214092
86	6378	213558
87	6450	213456
88	6511	212970
89	6585	212926
90	6652	212648
91	6712	212165
92	6779	211900
93	6837	211371
94	6901	211027
95	6964	210681
96	7028	210343
97	7088	209900
98	7152	209576
99	7206	208990
100	7268	208613
101	7337	208472
102	7401	208166
103	7474	208143
104	7542	207947
105	7604	207614
106	7665	207259
107	7723	206805
108	7787	206544
109	7849	206228
110	7911	205916
111	7977	205717
112	8038	205381
113	8101	205094
114	8162	204778
115	8230	204636
116	8302	204570
117	8363	204267
118	8427	204031
119	8499	203986
120	8559	203665
121	8626	203494
122	8689	203257
123	8751	202970
124	8816	202784
125	8880	202570
126	8941	202271
127	9003	202021
128	9063	201726
129	9130	201580
130	9189	201260
131	9254	201066
132	9317	200848
133	9378	200587
134	9441	200364
135	9506	200197
136	9563	199852
137	9626	199647
138	9694	199546
139	9768	199553
140	9836	199456
141	9904	199349
142	9964	199073
143	10026	198858
144	10084	198565
145	10144	198310
146	10200	197969
147	10260	197716
148	10319	197465
149	10388	197388
150	10446	197092
151	10517	197073
152	10574	196773
153	10633	196521
154	10697	196346
155	10762	196215
156	10823	196002
157	10887	195845
158	10943	195529
159	11005	195355
160	11076	195318
161	11142	195202
162	11199	194932
163	11265	194805
164	11324	194576
165	11379	194277
166	11444	194152
167	11506	193959
168	11562	193682
169	11622	193473
170	11679	193216
171	11738	192998
172	11800	192830
173	11866	192730
174	11940	192754
175	12019	192864
176	12075	192594
177	12150	192633
178	12215	192512
179	12278	192366
180	12335	192118
181	12393	191896
182	12452	191686
183	12511	191484
184	12570	191277
185	12627	191042
186	12688	190866
187	12743	190611
188	12800	190386
189	12861	190213
190	12922	190050
191	12984	189895
192	13042	189683
193	13106	189564
194	13168	189427
195	13223	189171
196	13289	189093
197	13358	189045
198	13428	189007
199	13497	188962
200	13566	188918
201	13623	188703
202	13680	188493
203	13742	188351
204	13807	188246
205	13868	188097
206	13935	188026
207	13999	187916
208	14062	187789
209	14123	187639
210	14188	187542
211	14260	187543
212	14333	187551
213	14401	187492
214	14463	187350
215	14514	187072
216	14572	186895
217	14631	186718
218	14691	186567
219	14742	186286
220	14800	186109
221	14854	185885
222	14912	185708
223	14974	185579
224	15050	185619
225	15115	185537
226	15180	185439
227	15239	185283
228	15300	185145
229	15362	185023
230	15428	184945
231	15495	184881
232	15556	184739
233	15629	184753
234	15700	184734
235	15762	184610
236	15817	184402
237	15875	184236
238	15926	183991
239	15992	183910
240	16045	183690
241	16118	183702
242	16173	183503
243	16236	183396
244	16295	183237
245	16359	183147
246	16422	183042
247	16502	183119
248	16558	182946
249	16628	182909
250	16688	182778
251	16758	182748
252	16815	182576
253	16872	182405
254	16930	182248
255	16993	182150
256	17055	182039
257	17114	181888
258	17172	181738
259	17242	181710
260	17302	181581
261	17356	181387
262	17425	181344
263	17485	181213
264	17546	181092
265	17606	180965
266	17666	180829
267	17722	180662
268	17774	180454
269	17828	180267
270	17889	180150
271	17949	180026
272	18008	179883
273	18069	179769
274	18125	179606
275	18190	179535
276	18247	179377
277	18296	179152
278	18351	178974
279	18412	178863
280	18479	178809
281	18539	178688
282	18600	178574
283	18656	178421
284	18727	178406
285	18799	178397
286	18856	178251
287	18925	178210
288	18982	178071
289	19040	177927
290	19102	177830
291	19156	177659
292	19212	177500
293	19279	177453
294	19334	177287
295	19389	177127
296	19441	176934
297	19496	176776
298	19552	176623
299	19618	176562
300	19673	176406
301	19735	176311
302	19797	176218
303	19858	176111
304	19925	176060
